-0.006693	0.025341	4.449535	-0.000092	0.019531	0.000426	-0.090429
0.010280	0.061111	4.451151	0.000352	-0.074581	0.001105	-0.234261
0.032727	0.121324	4.453449	0.001044	-0.221097	0.002234	-0.473351
0.054773	0.180448	4.457005	0.001895	-0.400842	0.003389	-0.717327
0.077045	0.241354	4.462143	0.002925	-0.617645	0.004632	-0.979081
0.099091	0.294409	4.468446	0.003897	-0.821221	0.005781	-1.219937
0.121136	0.361507	4.475844	0.004976	-1.046646	0.007218	-1.520330
0.143409	0.439639	4.485133	0.006179	-1.296688	0.008922	-1.874640
0.165909	0.510367	4.495826	0.007531	-1.576419	0.010553	-2.211106
0.188182	0.585078	4.508186	0.008926	-1.863082	0.012321	-2.573527
0.210000	0.642518	4.521824	0.010035	-2.088703	0.013836	-2.880417
0.232045	0.681642	4.536430	0.010804	-2.242166	0.015067	-3.125643
0.254091	0.705589	4.551379	0.011590	-2.398255	0.016042	-3.316426
0.276136	0.730680	4.566361	0.012080	-2.492253	0.017043	-3.511010
0.298636	0.749507	4.582914	0.012199	-2.508536	0.017991	-3.692322
0.321136	0.761897	4.599861	0.012347	-2.530133	0.018841	-3.851672
0.343409	0.771194	4.616963	0.012555	-2.563457	0.019641	-3.999787
0.365227	0.778393	4.633424	0.012613	-2.565948	0.020381	-4.135095
0.387045	0.784513	4.650339	0.012659	-2.565347	0.021119	-4.268631
0.409318	0.789016	4.667799	0.012774	-2.578569	0.021848	-4.398925
0.431818	0.795175	4.685702	0.012798	-2.573300	0.022625	-4.537374
0.454091	0.796010	4.703531	0.012685	-2.540016	0.023302	-4.654788
0.476364	0.800487	4.721346	0.012573	-2.508104	0.024047	-4.784742
0.498636	0.793832	4.739157	0.012273	-2.438802	0.024583	-4.872651
0.520227	0.779449	4.756416	0.011892	-2.354416	0.024953	-4.927707
0.542273	0.776692	4.773629	0.011575	-2.282990	0.025539	-5.024712
0.564773	0.770990	4.790863	0.011314	-2.221887	0.026069	-5.110203
0.587273	0.742504	4.808185	0.010840	-2.119372	0.026169	-5.111201
0.609545	0.721408	4.824618	0.010555	-2.053774	0.026373	-5.133396
0.631591	0.711664	4.840710	0.010347	-2.003896	0.026779	-5.194851
0.653636	0.683681	4.856285	0.009858	-1.902053	0.026815	-5.185111
0.675455	0.642571	4.871323	0.009329	-1.793573	0.026574	-5.123021
0.697500	0.610852	4.885569	0.008919	-1.707914	0.026481	-5.090433
0.720000	0.597278	4.899495	0.008727	-1.664075	0.026726	-5.122603
0.742500	0.588144	4.913182	0.008504	-1.615603	0.027046	-5.169335
0.764773	0.573232	4.926642	0.008244	-1.560620	0.027245	-5.192937
0.786818	0.563532	4.939898	0.008059	-1.520254	0.027536	-5.234212
0.808636	0.546879	4.952619	0.007669	-1.441427	0.027671	-5.246279
0.830682	0.532022	4.965021	0.007270	-1.360940	0.027828	-5.262790
0.853182	0.506477	4.977091	0.006900	-1.286812	0.027761	-5.237518
0.875455	0.477744	4.988690	0.006432	-1.195317	0.027612	-5.197448
0.897727	0.435242	4.999301	0.005919	-1.095720	0.027152	-5.100536
0.920000	0.387500	5.009076	0.005383	-0.992198	0.026555	-4.979272
0.941818	0.348172	5.017585	0.004920	-0.902898	0.026076	-4.881792
0.963864	0.313598	5.025546	0.004365	-0.797867	0.025671	-4.798666
0.985909	0.273376	5.032451	0.003745	-0.682319	0.025114	-4.688594
1.008409	0.215146	5.038236	0.002936	-0.532311	0.024156	-4.505554
1.030909	0.151580	5.042720	0.002183	-0.393949	0.023045	-4.295439
1.052955	0.087412	5.045227	0.001505	-0.270188	0.021852	-4.072046
1.070000	0.021136	5.046432	0.001085	-0.193916	0.020572	-3.833594
1.085000	-0.023715	5.046594	0.000617	-0.108526	0.019684	-3.668581
1.117273	-0.101049	5.044145	-0.000258	0.051428	0.018061	-3.368861
1.160000	-0.193750	5.036766	-0.001226	0.229384	0.015972	-2.984746
1.202500	-0.261240	5.025887	-0.001881	0.350473	0.014274	-2.674134
1.244773	-0.359556	5.011143	-0.003284	0.608300	0.011849	-2.227433
1.287045	-0.440785	4.991895	-0.005066	0.944148	0.009629	-1.817859
1.329545	-0.552964	4.969416	-0.007241	1.365243	0.006716	-1.274451
1.372273	-0.653422	4.942453	-0.009006	1.714878	0.003915	-0.747287
1.414545	-0.699179	4.912980	-0.010645	2.045639	0.002114	-0.406092
1.456818	-0.717633	4.882808	-0.012049	2.336085	0.000826	-0.159720
1.499545	-0.721558	4.851991	-0.013103	2.561209	-0.000200	0.038934
1.542045	-0.698544	4.821964	-0.013478	2.654279	-0.000691	0.135417
1.584318	-0.670167	4.793504	-0.013591	2.692173	-0.001039	0.204640
1.626818	-0.644026	4.765970	-0.013670	2.722504	-0.001405	0.278395
1.669318	-0.617975	4.739416	-0.013338	2.671003	-0.001747	0.348250
1.711818	-0.564674	4.714419	-0.012630	2.543121	-0.001543	0.309234
1.754091	-0.534173	4.691416	-0.012301	2.488837	-0.001706	0.343396
1.796364	-0.506491	4.669463	-0.011584	2.355014	-0.001891	0.382601
1.839091	-0.474612	4.648784	-0.011174	2.281244	-0.001965	0.399260
1.881591	-0.463549	4.629040	-0.010964	2.247623	-0.002391	0.487939
1.923864	-0.439489	4.609708	-0.010530	2.168094	-0.002571	0.526887
1.966364	-0.413170	4.591990	-0.010113	2.089423	-0.002662	0.547733
2.008864	-0.392427	4.574879	-0.009543	1.978694	-0.002837	0.586000
2.051364	-0.330630	4.559835	-0.008630	1.794295	-0.002217	0.459212
